Symbol,Description,Price Change % 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating
NVDA,NVIDIA Corporation,0.015117157974301406,4823063896179,USD,Electronic technology,Strong buy
GOOGL,Alphabet Inc.,-0.6326324250045368,4623676237385,USD,Technology services,Strong buy
GOOG,Alphabet Inc.,-0.9341892385574972,4623676237385,USD,Technology services,Strong buy
AAPL,Apple Inc.,-1.181552081102307,4064179691743,USD,Electronic technology,Buy
MSFT,Microsoft Corporation,-0.1978573496766705,3072549070701,USD,Technology services,Strong buy
AVGO,Broadcom Inc.,-1.134637295860229,1971989208984,USD,Electronic technology,Strong buy
META,"Meta Platforms, Inc.",0.2735135401522745,1549248230653,USD,Technology services,Strong buy
TSLA,"Tesla, Inc.",0.43242413387237033,1474159119792,USD,Consumer durables,Neutral
LLY,Eli Lilly and Company,0.4775103028038065,911539740638,USD,Health technology,Strong buy
MU,"Micron Technology, Inc.",6.31489644233784,650082283133,USD,Electronic technology,Strong buy
AMD,"Advanced Micro Devices, Inc.",-5.26987296832529,556825908938,USD,Electronic technology,Buy
JNJ,Johnson & Johnson,-1.3160790527752142,539698053249,USD,Health technology,Buy
ASML,ASML Holding N.V. - New York Registry Shares,-2.8598057490434576,530276312798.31854,USD,Electronic technology,Buy
ORCL,Oracle Corporation,4.923470872373845,518522295720,USD,Technology services,Buy
ABBV,AbbVie Inc.,0.7550822846079391,368185572903,USD,Health technology,Buy
PLTR,Palantir Technologies Inc.,1.3604497813562908,349256400008.00006,USD,Technology services,Buy
UNH,UnitedHealth Group Incorporated,0.5341938282987222,336520818527.00006,USD,Health services,Buy
PG,Procter & Gamble Company (The),-2.6076327583865297,333967681683,USD,Consumer non-durables,Buy
GE,GE Aerospace,-2.090677463264811,292676962400,USD,Electronic technology,Buy
MRK,"Merck & Company, Inc.",0.8470042796005732,279368032208,USD,Health technology,Buy
PM,Philip Morris International Inc,1.6889049164563064,263692573588.00003,USD,Consumer non-durables,Buy
TXN,Texas Instruments Incorporated,-0.04626005266528911,255635989606,USD,Electronic technology,Buy
RTX,RTX Corporation,-0.6264727857922888,232841542928,USD,Electronic technology,Buy
KLAC,KLA Corporation,-0.7495973955255902,223806731610,USD,Electronic technology,Buy
ANET,"Arista Networks, Inc.",-0.046323103647935196,217357842550,USD,Electronic technology,Strong buy
ARM,Arm Holdings plc,-3.7503551472677414,215862114166,USD,Electronic technology,Buy
IBM,International Business Machines Corporation,-1.171403962101636,215684864051.00003,USD,Technology services,Buy
PEP,"PepsiCo, Inc.",-1.7914999047074478,211288726993,USD,Consumer non-durables,Buy
TMUS,"T-Mobile US, Inc.",-0.8364786289911327,210402238109.00003,USD,Communications,Strong buy
